,Monthly median income,公营租住房屋,资助自置居所房屋,私人永久性房屋,非住宅用房屋,临时房屋
中西區 Central and Western District,45040,25170,0,47540,25070,4390
離島區 Islands District,28960,20570,28570,41350,24040,10770
荃灣區 Tsuen Wan District,32040,18500,27130,39020,15820,16860
東區 Eastern District,32000,20040,31660,39890,32110,11800
南區 Southern District,32440,20320,27420,52090,51000,32400
灣仔區 Wan Chai District,45000,16000,0,48000,40040,4690
油尖旺區 Yau Tsim Mong District,26080,20040,39070,25970,42190,4320
深水埗區 Sham Shui Po District,21490,16800,26900,26890,11440,3350
九龍城區 Kowloon City District,30010,16040,35040,37170,20000,9570
觀塘區 Kwun Tong District,22000,17760,26950,38930,15310,15940
黃大仙區 Wong Tai Sin District,23520,19290,27050,35750,13620,12790
葵青區 Kwai Tsing District,23740,19490,28790,36510,29490,16990
西貢區 Sai Kung District,37840,20310,30210,52410,18040,30240
沙田區 Sha Tin District,28870,18010,27770,47250,21670,23050
屯門區 Tuen Mun District,25040,15710,24900,34660,19690,20000
元朗區 Yuen Long District,27560,20360,30070,32170,9950,20250
北區 North District,23580,16740,27290,26490,6730,18630
大埔區 Tai Po District,30000,15940,25190,38020,54250,13820
Unit,HKD/Month,,,,,